date,home,away,actual,predicted,correct,tier,h_prob,d_prob,a_prob,brier,elo_gap
2024-01-20,FC Koln,Dortmund,away_win,away_win,True,SNIPER,0.251,0.2407,0.5083,0.3627,-221.5
2024-01-20,Bochum,Stuttgart,home_win,home_win,True,SKIP,0.3698,0.2824,0.3478,0.5979,-115.9
2024-01-20,RB Leipzig,Leverkusen,away_win,home_win,False,HOLD,0.5772,0.243,0.1799,1.0648,-60.3
2024-01-20,Freiburg,Hoffenheim,home_win,home_win,True,SNIPER,0.5674,0.2584,0.1742,0.2843,87.8
2024-01-21,Bayern Munich,Werder Bremen,away_win,home_win,False,SNIPER,0.8549,0.0981,0.0471,1.6485,260.1
2024-01-21,M'gladbach,Augsburg,away_win,home_win,False,HOLD,0.58,0.2418,0.1782,1.0703,36.8
2024-01-24,Bayern Munich,Union Berlin,home_win,home_win,True,SNIPER,0.6513,0.2185,0.1302,0.1863,206.1
2024-01-26,Ein Frankfurt,Mainz,home_win,home_win,True,SNIPER,0.5299,0.244,0.2261,0.3317,106.9
2024-01-27,Augsburg,Bayern Munich,away_win,away_win,True,SNIPER,0.1324,0.1974,0.6702,0.1652,-234.3
2024-01-27,Wolfsburg,FC Koln,draw,home_win,False,SNIPER,0.5733,0.2417,0.1849,0.9379,63.5
2024-01-27,Leverkusen,M'gladbach,draw,home_win,False,SNIPER,0.5545,0.2427,0.2028,0.9221,238.5
2024-01-27,Stuttgart,RB Leipzig,home_win,away_win,False,SKIP,0.2595,0.2809,0.4596,0.8384,-60.2
2024-01-27,Werder Bremen,Freiburg,home_win,away_win,False,SKIP,0.3521,0.2827,0.3652,0.633,-93.3
2024-01-28,Dortmund,Bochum,home_win,home_win,True,SNIPER,0.8707,0.0907,0.0386,0.0264,171.2
2024-02-03,Bayern Munich,M'gladbach,home_win,home_win,True,SNIPER,0.8047,0.1284,0.0669,0.0591,234.7
2024-02-03,Bochum,Augsburg,draw,home_win,False,SKIP,0.4119,0.2807,0.3074,0.7816,7.2
2024-02-03,FC Koln,Ein Frankfurt,home_win,home_win,True,SKIP,0.4148,0.2692,0.316,0.5148,-165.3
2024-02-03,Mainz,Werder Bremen,away_win,home_win,False,HOLD,0.5721,0.2278,0.2001,1.019,-57.8
2024-02-03,Freiburg,Stuttgart,away_win,home_win,False,HOLD,0.5809,0.2569,0.1622,1.1053,-2.0
2024-02-04,Wolfsburg,Hoffenheim,draw,home_win,False,HOLD,0.5992,0.2341,0.1668,0.9734,-11.9
2024-02-04,RB Leipzig,Union Berlin,home_win,home_win,True,SKIP,0.4899,0.2946,0.2155,0.3934,111.4
2024-02-07,Mainz,Union Berlin,draw,home_win,False,SKIP,0.3599,0.304,0.3361,0.7269,-39.5
2024-02-09,Dortmund,Freiburg,home_win,home_win,True,SNIPER,0.649,0.2105,0.1405,0.1872,104.0
2024-02-10,Ein Frankfurt,Bochum,draw,home_win,False,SNIPER,0.7115,0.181,0.1074,1.1886,91.1
2024-02-10,Augsburg,RB Leipzig,draw,away_win,False,SNIPER,0.2254,0.2723,0.5023,0.8328,-142.3
2024-02-10,Union Berlin,Wolfsburg,home_win,home_win,True,SKIP,0.4902,0.2895,0.2202,0.3922,12.7
2024-02-10,Leverkusen,Bayern Munich,home_win,away_win,False,HOLD,0.2569,0.2422,0.5009,0.8618,-23.2
2024-02-11,Stuttgart,Mainz,home_win,home_win,True,SKIP,0.3999,0.2782,0.3219,0.5411,151.4
2024-02-11,Hoffenheim,FC Koln,draw,home_win,False,SKIP,0.448,0.2743,0.2778,0.8045,45.9
2024-02-16,FC Koln,Werder Bremen,away_win,home_win,False,HOLD,0.5341,0.2429,0.223,0.948,-87.9
2024-02-17,Hoffenheim,Union Berlin,away_win,away_win,True,SKIP,0.3074,0.311,0.3816,0.5737,-14.7
2024-02-17,Wolfsburg,Dortmund,draw,away_win,False,SKIP,0.3386,0.2528,0.4086,0.84,-211.7
2024-02-17,RB Leipzig,M'gladbach,home_win,home_win,True,SNIPER,0.6476,0.215,0.1374,0.1893,129.9
2024-02-17,Mainz,Augsburg,home_win,home_win,True,HOLD,0.599,0.2345,0.1665,0.2435,-39.0
2024-02-18,Freiburg,Ein Frankfurt,draw,home_win,False,SKIP,0.4845,0.2744,0.2411,0.8194,-10.5
2024-02-18,Bochum,Bayern Munich,home_win,away_win,False,SNIPER,0.0971,0.16,0.7429,1.3927,-230.4
2024-02-23,Leverkusen,Mainz,home_win,home_win,True,SNIPER,0.5374,0.2465,0.2161,0.3215,264.3
2024-02-24,M'gladbach,Bochum,home_win,home_win,True,HOLD,0.6549,0.2071,0.138,0.181,-31.9
2024-02-24,Stuttgart,FC Koln,draw,home_win,False,SKIP,0.4244,0.282,0.2936,0.7819,171.7
2024-02-24,Bayern Munich,RB Leipzig,home_win,home_win,True,SNIPER,0.6372,0.2088,0.154,0.199,68.4
2024-02-25,Ein Frankfurt,Wolfsburg,draw,home_win,False,SKIP,0.4583,0.2627,0.2789,0.8315,94.3
2024-02-25,Dortmund,Hoffenheim,away_win,home_win,False,SNIPER,0.7718,0.147,0.0812,1.4614,198.1
2024-02-25,Augsburg,Freiburg,home_win,away_win,False,SKIP,0.2991,0.3026,0.3983,0.7414,-86.0
2024-03-01,Freiburg,Bayern Munich,draw,away_win,False,SKIP,0.2568,0.2634,0.4798,0.8388,-168.7
2024-03-02,Bochum,RB Leipzig,away_win,away_win,True,SNIPER,0.1815,0.2426,0.576,0.2716,-119.2
2024-03-02,Wolfsburg,Stuttgart,away_win,home_win,False,HOLD,0.6132,0.2321,0.1547,1.1444,-122.1
2024-03-02,Mainz,M'gladbach,draw,home_win,False,HOLD,0.5058,0.2519,0.2423,0.8741,-38.9
2024-03-02,Union Berlin,Dortmund,away_win,home_win,False,SKIP,0.3638,0.2853,0.3509,0.635,-122.4
2024-03-03,FC Koln,Leverkusen,away_win,home_win,False,SKIP,0.3987,0.2759,0.3254,0.6902,-280.3
2024-03-03,Hoffenheim,Werder Bremen,home_win,home_win,True,HOLD,0.5035,0.2513,0.2452,0.3697,-56.7
2024-03-08,Stuttgart,Union Berlin,home_win,away_win,False,SKIP,0.2895,0.3144,0.3961,0.7605,104.2
2024-03-09,Bayern Munich,Mainz,home_win,home_win,True,SNIPER,0.792,0.1347,0.0733,0.0668,244.8
2024-03-09,M'gladbach,FC Koln,draw,home_win,False,SKIP,0.4938,0.2599,0.2463,0.8523,53.1
2024-03-09,Werder Bremen,Dortmund,away_win,away_win,True,SNIPER,0.216,0.2154,0.5686,0.2791,-118.9
2024-03-10,Bochum,Freiburg,away_win,away_win,True,SKIP,0.252,0.2823,0.4658,0.4285,-58.5
2024-03-10,Ein Frankfurt,Hoffenheim,home_win,home_win,True,HOLD,0.5809,0.2355,0.1836,0.2648,46.3
2024-03-10,Leverkusen,Wolfsburg,home_win,home_win,True,SKIP,0.4666,0.2664,0.267,0.4268,268.2
2024-03-15,FC Koln,RB Leipzig,away_win,away_win,True,SKIP,0.301,0.2811,0.4179,0.5085,-181.6
2024-03-16,Mainz,Bochum,home_win,home_win,True,HOLD,0.6735,0.1987,0.1277,0.1624,-17.5
2024-03-16,Union Berlin,Werder Bremen,home_win,home_win,True,HOLD,0.6338,0.2304,0.1358,0.2056,-25.4
2024-03-16,Wolfsburg,Augsburg,away_win,home_win,False,HOLD,0.6546,0.2158,0.1296,1.2328,-22.7
2024-03-16,Hoffenheim,Stuttgart,away_win,home_win,False,SKIP,0.4901,0.2719,0.238,0.8947,-120.3
2024-03-17,Freiburg,Leverkusen,away_win,home_win,False,SKIP,0.4672,0.283,0.2498,0.8611,-182.7
2024-03-17,Dortmund,Ein Frankfurt,home_win,home_win,True,SNIPER,0.6966,0.1768,0.1266,0.1394,97.8
2024-03-30,Ein Frankfurt,Union Berlin,draw,home_win,False,SKIP,0.3953,0.3002,0.3045,0.7388,47.7
2024-03-30,Leverkusen,Hoffenheim,home_win,home_win,True,SNIPER,0.5871,0.2374,0.1754,0.2576,259.1
2024-03-30,M'gladbach,Freiburg,away_win,home_win,False,SKIP,0.3974,0.2905,0.3122,0.7154,-56.8
2024-03-30,RB Leipzig,Mainz,draw,home_win,False,SNIPER,0.6318,0.2206,0.1476,1.0285,173.7
2024-03-30,Werder Bremen,Wolfsburg,away_win,away_win,True,SKIP,0.3513,0.2635,0.3852,0.5708,66.2
2024-03-30,Bayern Munich,Dortmund,away_win,home_win,False,HOLD,0.6013,0.2013,0.1973,1.0464,23.8
2024-03-31,Augsburg,FC Koln,draw,home_win,False,SKIP,0.3813,0.2865,0.3322,0.7649,66.7
2024-04-05,Ein Frankfurt,Werder Bremen,draw,home_win,False,SNIPER,0.6141,0.2135,0.1724,1.0255,68.8
2024-04-06,Freiburg,RB Leipzig,away_win,home_win,False,SKIP,0.367,0.3023,0.3307,0.674,-66.4
2024-04-06,FC Koln,Bochum,home_win,home_win,True,HOLD,0.6368,0.2175,0.1457,0.2005,-11.6
2024-04-06,Dortmund,Stuttgart,away_win,home_win,False,SNIPER,0.7824,0.1433,0.0743,1.4897,63.2
2024-04-06,Union Berlin,Leverkusen,away_win,home_win,False,HOLD,0.5041,0.2848,0.2111,0.9576,-234.1
2024-04-07,Hoffenheim,Augsburg,home_win,home_win,True,HOLD,0.5333,0.2615,0.2053,0.3283,-11.3
2024-04-07,Wolfsburg,M'gladbach,away_win,home_win,False,HOLD,0.567,0.2399,0.1931,1.0302,-7.8
2024-04-12,Augsburg,Union Berlin,home_win,away_win,False,SKIP,0.2557,0.3093,0.435,0.839,-28.9
2024-04-13,Mainz,Hoffenheim,home_win,home_win,True,HOLD,0.5401,0.249,0.211,0.318,-27.1
2024-04-13,Bayern Munich,FC Koln,home_win,home_win,True,SNIPER,0.8075,0.1286,0.0639,0.0577,229.8
2024-04-13,M'gladbach,Dortmund,away_win,away_win,True,SKIP,0.2621,0.2379,0.5,0.3753,-186.7
2024-04-13,Stuttgart,Ein Frankfurt,home_win,home_win,True,SKIP,0.3641,0.2779,0.358,0.6097,103.8
2024-04-13,RB Leipzig,Wolfsburg,home_win,home_win,True,SNIPER,0.5624,0.2486,0.189,0.289,195.5
2024-04-14,Leverkusen,Werder Bremen,home_win,home_win,True,SNIPER,0.6205,0.215,0.1645,0.2173,267.0
2024-04-19,Ein Frankfurt,Augsburg,home_win,home_win,True,HOLD,0.6385,0.2184,0.1431,0.1989,46.4
2024-04-20,Wolfsburg,Bochum,home_win,home_win,True,HOLD,0.726,0.1774,0.0966,0.1159,3.9
2024-04-20,Union Berlin,Bayern Munich,away_win,away_win,True,SKIP,0.2968,0.2843,0.4189,0.5065,-193.4
2024-04-20,Hoffenheim,M'gladbach,home_win,home_win,True,SKIP,0.4401,0.2706,0.2893,0.4704,3.2
2024-04-21,Dortmund,Leverkusen,draw,home_win,False,HOLD,0.6772,0.1877,0.1351,1.1366,-78.2
2024-04-21,Freiburg,Mainz,draw,home_win,False,HOLD,0.5204,0.267,0.2126,0.8534,59.0
2024-04-21,Werder Bremen,Stuttgart,home_win,home_win,True,SKIP,0.4901,0.2581,0.2518,0.39,-175.9
2024-04-26,Bochum,Hoffenheim,home_win,away_win,False,SKIP,0.3532,0.2776,0.3692,0.6317,-74.1
2024-04-27,Augsburg,Werder Bremen,away_win,home_win,False,SKIP,0.4322,0.2681,0.2997,0.7491,-26.2
2024-04-27,Bayern Munich,Ein Frankfurt,home_win,home_win,True,SNIPER,0.762,0.149,0.089,0.0868,143.9
2024-04-27,Freiburg,Wolfsburg,away_win,home_win,False,SKIP,0.4532,0.2867,0.2601,0.835,86.5
2024-04-27,RB Leipzig,Dortmund,home_win,home_win,True,SKIP,0.4256,0.2571,0.3173,0.4966,-39.9
2024-04-27,Leverkusen,Stuttgart,draw,home_win,False,SNIPER,0.6015,0.2356,0.1628,0.9726,120.3
2024-04-28,M'gladbach,Union Berlin,draw,away_win,False,SKIP,0.3437,0.3054,0.3509,0.7238,-18.6
2024-04-28,Mainz,FC Koln,draw,home_win,False,HOLD,0.5132,0.2546,0.2322,0.8729,43.1
2024-05-03,Hoffenheim,RB Leipzig,draw,away_win,False,SKIP,0.277,0.2792,0.4438,0.7932,-184.0
2024-05-04,Dortmund,Augsburg,home_win,home_win,True,SNIPER,0.8159,0.1254,0.0587,0.0531,205.2
2024-05-04,FC Koln,Freiburg,draw,home_win,False,SKIP,0.3829,0.2967,0.3203,0.7438,-66.2
2024-05-04,Stuttgart,Bayern Munich,home_win,away_win,False,HOLD,0.1594,0.2136,0.627,1.1454,-55.3
2024-05-04,Werder Bremen,M'gladbach,draw,home_win,False,SKIP,0.437,0.2561,0.3069,0.8386,62.7
2024-05-05,Union Berlin,Bochum,away_win,home_win,False,HOLD,0.7187,0.1953,0.086,1.39,46.7
2024-05-05,Ein Frankfurt,Leverkusen,away_win,home_win,False,SKIP,0.4733,0.2592,0.2675,0.8277,-210.2
2024-05-10,Augsburg,Stuttgart,away_win,home_win,False,SKIP,0.4225,0.289,0.2885,0.7683,-205.6
2024-05-11,FC Koln,Union Berlin,home_win,away_win,False,SKIP,0.331,0.3107,0.3583,0.6725,-13.5
2024-05-11,M'gladbach,Ein Frankfurt,draw,home_win,False,SKIP,0.4305,0.2628,0.3068,0.8229,-67.1
2024-05-11,RB Leipzig,Werder Bremen,draw,home_win,False,SNIPER,0.7103,0.1825,0.1072,1.1844,135.1
2024-05-11,Mainz,Dortmund,home_win,away_win,False,SKIP,0.2785,0.2401,0.4814,0.8101,-191.8
2024-05-12,Bayern Munich,Wolfsburg,home_win,home_win,True,SNIPER,0.7299,0.1671,0.103,0.1115,214.0
2024-05-12,Bochum,Leverkusen,away_win,away_win,True,SKIP,0.2582,0.2619,0.4798,0.4059,-305.3
2024-05-18,Ein Frankfurt,RB Leipzig,draw,home_win,False,SKIP,0.3665,0.2762,0.3573,0.7859,-113.7
2024-05-18,Hoffenheim,Bayern Munich,home_win,away_win,False,SNIPER,0.1723,0.2157,0.6119,1.106,-209.8
2024-05-18,Leverkusen,Augsburg,home_win,home_win,True,SNIPER,0.6434,0.2198,0.1368,0.1942,319.4
2024-05-18,Union Berlin,Freiburg,home_win,home_win,True,SKIP,0.4808,0.308,0.2113,0.4091,-65.6
2024-05-18,Stuttgart,M'gladbach,home_win,home_win,True,SKIP,0.4165,0.2779,0.3056,0.511,205.3
2024-05-18,Werder Bremen,Bochum,home_win,home_win,True,SNIPER,0.612,0.2172,0.1708,0.2269,76.3
2024-05-18,Wolfsburg,Mainz,away_win,home_win,False,HOLD,0.5501,0.244,0.2059,0.9926,-39.0
